,Decade,Year,Country,Area,Location,Injury,Fatal (Y/N)
0,2010,2018.0,USA,California,"Oceanside, San Diego County","No injury to occupant, outrigger canoe and paddle damaged",N
1,2010,2018.0,USA,Georgia,"St. Simon Island, Glynn County",Minor injury to left thigh,N
2,2010,2018.0,USA,Hawaii,"Habush, Oahu",Injury to left lower leg from surfboard skeg,N
3,2010,2018.0,AUSTRALIA,New South Wales,Arrawarra Headland,Minor injury to lower leg,N
4,2010,2018.0,MEXICO,Colima,La Ticla,Lacerations to leg & hand shark PROVOKED INCIDENT,N
5,2010,2018.0,AUSTRALIA,New South Wales,"Flat Rock, Ballina","No injury, board bitten",N
6,2010,2018.0,BRAZIL,Pernambuco,"Piedade Beach, Recife",FATAL,Y
7,2010,2018.0,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Minor injury to foot. PROVOKED INCIDENT,N
8,2010,2018.0,USA,Florida,"Cocoa Beach, Brevard  County",Lower left leg bitten,N
9,2010,2018.0,USA,Florida,"Daytona Beach, Volusia County",Minor injury to foot,N
10,2010,2018.0,AUSTRALIA,Queensland,Cairns Aquarium,Minor bite to hand by captive shark. PROVOKED INCIDENT,N
11,2010,2018.0,USA,South Carolina,"Isle of Palms,  Charleston County",Injuries to lower right leg and foot,N
12,2010,2018.0,USA,South Carolina,"Hilton Head Island, Beaufort County",Severe bite to right forearm,N
13,2010,2018.0,ENGLAND,Cornwall,Off Land's End,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N
14,2010,2018.0,AUSTRALIA,Westerm Australia,Dugong Bay,Shallow lacerations to finger PROVOKED INCIDENT,N
15,2010,2018.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London","Minor injury, marks on board",N
16,2010,2018.0,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina","No injury, surfboard damaged",N
18,2010,2018.0,COSTA RICA,Cocos Island,Manuelita,"No injury, shark bit scuba gear",N
19,2010,2018.0,AUSTRALIA,Western Australia,Gearys Beach,"No injury, knocked off board by shark",N
20,2010,2018.0,AUSTRALIA,New South Wales,Lennox Head,No injury,N
21,2010,2018.0,AUSTRALIA,Western Australia,"Surfers Point, Prevelly","No injury, knocked off board by shark",N
22,2010,2018.0,AUSTRALIA,Western Australia,"South Point, Gracetown","No injury, shark struck his leg",N
24,2010,2018.0,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay","No injury, shark bit hole in ski",N
25,2010,2018.0,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Lacerations to right lower leg,N
28,2010,2018.0,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Laceration to right thigh,N
29,2010,2018.0,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Lacerations to legs,N
30,2010,2018.0,BAHAMAS,New Providence,Nirvana Beach,No Injury. Shark swam away with the surf board,N
31,2010,2018.0,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N
32,2010,2018.0,NEW CALEDONIA,,"Magenta Beach, Noumea","No injury, shark bit board",N
33,2010,2018.0,BAHAMAS,,Bimini,"2 puncture wounds to left foot, abrasion to right foot",N
34,2010,2018.0,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Lacerations to left knee & lower leg,N
35,2010,2018.0,USA,Hawaii,Kukio Beach,Injuries to right leg & hand,N
36,2010,2018.0,AUSTRALIA,Western Australia,Waterman's Bay,Minor injuries to legs,N
37,2010,2018.0,AUSTRALIA,Victoria,Lorne,"No injury, said to have been charged by sharks several times",N
38,2010,2018.0,AUSTRALIA,Victoria,Winkipop,"Minor injury, ankle grazed",N
39,2010,2018.0,SOUTH AFRICA,KwaZulu-Natal,Durban, The shark & man simply collided; neither were injured,N
40,2010,2018.0,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Laceratons to right leg & foot,N
41,2010,2018.0,AUSTRALIA,Victoria,Westernport Bay,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N
42,2010,2018.0,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Puncture wounds to leff foot & lower leg,N
43,2010,2018.0,AUSTRALIA,Queensland,Mooloolaba Beach,"Collision / No injury, no attack",N
44,2010,2018.0,BRAZIL,"Boi Island, Victoria",Espirito Santo,Lacerations to 4 toes of right foot,N
46,2010,2018.0,AUSTRALIA,Western Australia,"Avalon Point, Manurah","No injury no attack. This is considerd an ""encounter""",N
47,2010,2018.0,AUSTRALIA,Western Australia,Cone Bay,Injuries to right leg,N
48,2010,2018.0,NEW CALEDONIA,,Nouville,Injuries to abdomen and arm,N
49,2010,2018.0,AUSTRALIA,Queensland,Lizard Island,Severe laceration to left forearm,N
50,2010,2018.0,AUSTRALIA,New South Wales,Martin Islet,"No injury, shark took his swimfin",N
51,2010,2018.0,BRAZIL,Fernando de Noronha,Conceicao Beach,Minor injury to left forearm,N
52,2010,2018.0,AUSTRALIA,Western Australia,"South Point, Gracetown",Foot bitten,N
53,2010,2017.0,USA,Hawaii,"Hultin's Beach, Oahu",Severe lacerations to left thigh & knee,N
54,2010,2017.0,USA,California,"Drakes Estero, Point Reyes, Marin County",Foot bitten,N
56,2010,2017.0,BAHAMAS,,,Minor injury to arm,N
57,2010,2017.0,COSTA RICA,Cocos Island,Manuelita,Serious injury to leg,N
58,2010,2017.0,COSTA RICA,Cocos Island,Manuelita,FATAL,Y
60,2010,2017.0,USA,California,"Stillwater Cove, Monterey County",Right leg bitten,N
61,2010,2017.0,USA,Florida,"Floridana Beach, Brevard County",Heel bitten,N
63,2010,2017.0,AUSTRALIA,New South Wales,Avoca Beach,Puncture wounds to left shoulder,N
64,2010,2017.0,CUBA,Holquin Province,Guardalavaca Beach,FATAL,Y
65,2010,2017.0,AUSTRALIA,Queensland,Magnetic Island,Calf injured,N
66,2010,2017.0,AUSTRALIA,New South Wales,Birubi Point,Minor injury to foot,N
67,2010,2017.0,USA,Hawaii,"White Plains Beach, Oahu",No injury but shark bit SUP,N
69,2010,2017.0,USA,Florida,"Juno Beach, Palm Beach County",Lacerations to left foot,N
70,2010,2017.0,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Severe lacerations to left hand & wrist,N
71,2010,2017.0,AUSTRALIA,South Australia,Normanville,Minor injuries,N
72,2010,2017.0,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand","No injury, shark shook kayak x3 ",N
73,2010,2017.0,USA,Florida,"Lantana Beach, Palm Beach County",Puncture wounds & lacerations to foot,N
74,2010,2017.0,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Lacerations to left hand,N
75,2010,2017.0,USA,Hawaii,"Kamaole Beach Park, Maui ",Abrasions,N
77,2010,2017.0,USA,Florida,"Hanna Park, Jacksonville, Duval County",Lacerations to lower left leg and foot,N
